id_hogar,cve_municipio,municipio,edad_receptor,genero_receptor,escolaridad,n_dependientes,tipo_vivienda_actual,antiguedad_recepcion_meses,remesa_mediana_esperada_usd,remesa_total_24m,m_2023_01,m_2023_02,m_2023_03,m_2023_04,m_2023_05,m_2023_06,m_2023_07,m_2023_08,m_2023_09,m_2023_10,m_2023_11,m_2023_12,m_2024_01,m_2024_02,m_2024_03,m_2024_04,m_2024_05,m_2024_06,m_2024_07,m_2024_08,m_2024_09,m_2024_10,m_2024_11,m_2024_12
H000039,14001,Acatic,35,F,sin_estudios,4,rentada,57,245.95,6083.3114,235.6009,170.8578,324.7891,320.4917,382.8973,287.6276,358.8196,140.6119,213.4765,193.7652,241.045,212.5156,190.6168,356.3835,231.2478,257.6317,234.6138,251.7605,240.8892,278.5902,0.0,405.3597,254.9012,298.819
H000040,14001,Acatic,53,F,primaria,5,propia,147,704.03,16362.4654,408.6613,572.1327,916.9358,842.1555,765.048,914.2962,794.993,994.4469,730.3241,644.477,735.2909,304.3434,0.0,201.1676,419.5007,745.7362,827.1632,501.0477,558.48,1045.4063,581.9892,1382.0049,665.8823,810.9824
H000041,14001,Acatic,54,F,media_superior,1,propia,140,255.69,5808.9343,334.4643,221.5786,188.2747,229.6792,258.4001,171.478,231.9,204.1982,319.5915,262.477,222.6951,253.2652,222.1559,255.5416,188.4202,174.7098,361.1355,226.7943,164.9232,289.2395,279.1407,165.7773,258.8343,324.2601
H000042,14001,Acatic,52,F,secundaria,3,propia,30,216.44,5509.5068,196.5924,217.2796,141.636,221.2788,202.2437,188.0502,273.2308,331.8135,349.2515,323.541,198.3346,245.3045,220.5967,187.0234,222.2683,255.7152,217.2194,174.9232,187.3696,258.8912,206.4205,243.0392,249.355,198.1287
H000043,14001,Acatic,37,F,superior,4,propia,56,1449.18,31625.7955,1472.4334,1350.6124,996.6959,2053.0593,1277.6168,892.4819,1042.537,1066.3727,1402.1923,0.0,1242.3104,1776.3487,1303.0215,1325.9432,1615.2536,1610.9116,797.0672,1303.6092,747.0802,1454.3907,1379.0031,2001.6299,1943.5104,1571.714
H000044,14001,Acatic,48,F,primaria,5,propia,163,356.36,8459.0362,250.3774,342.6511,301.6147,330.4523,486.1073,302.8766,441.3771,431.7311,256.5633,481.9668,414.001,375.2172,231.8446,230.9173,300.7531,387.6703,274.8994,405.6542,0.0,333.2985,350.6725,742.3136,225.0836,560.9932
H000045,14001,Acatic,46,M,secundaria,1,propia,46,257.33,6362.6282,218.8225,242.1144,263.2979,272.0112,251.1978,394.7822,220.038,356.2889,202.9423,256.9056,177.7769,300.5393,320.0589,209.7671,240.0257,0.0,245.6838,161.4025,192.4463,273.1273,361.1496,596.4941,205.0014,400.7544
H000046,14001,Acatic,48,F,media_superior,5,propia,74,536.41,12429.0026,468.8903,0.0,601.8908,506.7433,565.8358,476.3495,347.8989,338.5782,619.1754,502.5563,426.1393,549.516,551.2417,471.6294,437.2442,0.0,870.8611,620.9214,697.9661,767.0043,712.211,652.761,605.107,638.4815
H000047,14001,Acatic,55,M,media_superior,3,propia,87,208.39,4205.5593,122.8778,0.0,138.3218,153.098,312.0251,266.9844,315.2908,0.0,0.0,197.3277,203.2058,0.0,236.5428,156.2885,228.3637,144.6214,242.8889,208.8147,163.4878,193.0954,188.1177,195.6137,331.7105,206.883
H000048,14001,Acatic,48,M,primaria,3,propia,161,278.06,6123.0282,210.6405,125.268,211.3505,238.779,232.1759,417.6213,0.0,403.0564,269.7981,285.6601,0.0,284.4602,374.7732,117.3591,152.6957,219.9308,285.1739,340.8859,312.3609,246.6674,357.3483,382.3355,277.7509,376.9367
H000049,14001,Acatic,53,F,sin_estudios,4,propia,96,545.17,11857.9351,480.6068,385.5287,661.2512,522.4341,556.9572,841.0255,259.5791,357.0676,366.6266,497.9481,478.7652,357.8983,332.2236,353.0945,1108.4132,858.2945,493.3514,490.5305,380.3834,309.188,501.9544,413.3129,503.2286,348.2717
H000050,14001,Acatic,46,F,superior,1,propia,51,997.16,21571.4712,648.8099,868.6057,1097.292,1045.6501,691.0868,1282.9746,770.8112,0.0,947.2009,676.475,0.0,1134.3439,971.4284,797.8095,1544.9789,1243.4016,944.4145,1244.1909,1719.9304,1760.6445,662.5806,771.9771,0.0,746.8647
H000051,14001,Acatic,48,F,media_superior,1,propia,98,602.52,13358.3079,332.5497,435.6071,673.6209,542.393,508.3339,494.8834,477.923,462.171,1121.7452,668.1384,739.7363,533.3561,464.2603,407.482,273.3817,372.9788,361.6194,311.6239,414.7407,882.7824,566.6825,894.2777,643.3086,774.712
H000052,14001,Acatic,53,M,secundaria,4,propia,68,527.0,12654.5935,329.1939,512.5298,645.0365,412.753,634.2586,622.9924,438.481,376.3816,354.7135,549.2931,548.9752,426.7458,432.2132,519.5872,624.4439,771.0095,782.9501,393.226,844.6121,447.7926,682.4279,546.315,441.8919,316.7695
H000053,14001,Acatic,28,F,secundaria,6,rentada,208,711.85,16711.068,550.8247,375.5686,0.0,1030.7759,575.3181,778.7089,562.4846,0.0,851.4589,715.2206,1122.6132,631.4034,776.7719,610.8253,888.6121,579.1312,716.4555,688.8922,544.5048,858.5385,820.9626,861.0464,1057.7666,1113.1839
H000054,14001,Acatic,41,F,primaria,2,prestada,90,334.27,7597.2387,243.665,311.0052,275.082,0.0,286.2552,538.4319,363.6381,311.3593,452.1759,179.6085,175.1327,431.4786,276.8883,300.0104,223.8008,307.9872,614.6773,426.2495,343.5082,291.7985,283.6784,181.8056,341.1894,437.8129
H000055,14001,Acatic,39,F,secundaria,2,propia,40,196.6,4129.7583,100.7403,135.0105,138.32,137.3747,0.0,106.7401,230.1979,243.5876,174.0218,96.4448,138.8672,288.5143,70.78,148.0425,137.408,230.9707,164.6763,221.6012,226.923,334.6944,176.4996,223.0955,120.3102,284.938
H000056,14001,Acatic,37,M,primaria,3,propia,25,277.35,6433.2252,180.5376,196.176,272.308,162.6188,302.9099,0.0,295.5142,172.7501,254.8456,350.4253,151.2347,206.73,291.9296,250.3642,309.3284,444.1151,325.0003,336.8149,600.9372,258.6612,209.0925,319.546,298.5705,242.815
H000057,14002,Acatlán de Juárez,42,F,primaria,3,propia,53,705.36,15872.4143,423.9228,1158.7929,767.272,527.7739,942.5477,683.8859,640.2861,826.147,459.9813,794.9369,1170.436,0.0,513.9785,506.837,617.966,607.3374,644.7075,924.1039,414.6146,902.1319,0.0,800.6327,479.4909,1064.6314
H000058,14002,Acatlán de Juárez,63,F,media_superior,1,propia,77,222.77,5118.6891,261.314,246.21,141.1259,263.6089,256.2072,139.215,216.2532,246.2029,249.9109,238.4629,0.0,350.856,259.8147,80.0645,200.5648,196.9076,136.0184,229.2726,314.2436,160.8014,234.3034,173.0062,173.0791,351.2458
H000059,14002,Acatlán de Juárez,35,F,primaria,4,propia,65,356.76,8915.4463,247.5726,340.7325,203.5542,571.7464,434.8389,338.5298,413.0066,234.2056,481.0304,329.6367,317.9875,315.5682,244.8195,364.7959,380.0763,400.743,363.3908,415.2339,308.4466,681.7258,214.5417,524.9283,504.4568,283.8782
H000060,14002,Acatlán de Juárez,57,F,media_superior,1,propia,25,387.99,8203.3145,607.4804,433.3575,509.9192,362.9029,371.7449,365.2671,425.4156,581.3283,0.0,301.706,467.7127,519.5874,382.6328,402.6934,354.1181,274.0183,307.0804,240.3259,0.0,0.0,324.9072,165.565,254.5945,550.9567
H000061,14002,Acatlán de Juárez,25,M,secundaria,1,propia,31,460.04,12293.7096,308.0061,426.4589,302.248,651.0523,450.3522,501.4888,890.2595,713.0015,400.6311,392.7623,395.6784,546.0123,362.9764,341.5973,699.3871,412.6978,922.7691,472.9905,759.6478,507.3553,581.5655,377.9014,338.8438,538.0261
H000062,14002,Acatlán de Juárez,41,M,sin_estudios,2,propia,30,499.31,10745.0015,543.1259,421.3197,338.2475,310.7034,335.3832,297.5097,504.118,689.867,473.9074,261.307,446.7874,486.4227,751.7797,271.4604,439.9778,0.0,581.9126,589.7608,504.8732,546.2566,597.7816,400.0666,611.4578,340.9753
H000063,14002,Acatlán de Juárez,47,F,primaria,4,prestada,71,510.1,10703.2114,457.1066,448.2832,0.0,470.0678,433.916,372.8295,449.5478,366.3257,534.371,369.8229,594.946,368.49,351.5244,354.1056,743.8222,521.389,489.5309,591.1883,268.6639,0.0,873.6858,538.8814,492.453,612.2604
H000064,14002,Acatlán de Juárez,52,F,primaria,3,propia,165,1441.74,32339.9398,1526.0443,668.8608,869.5069,1422.6389,1193.6176,2121.52,1285.0155,811.3567,946.8024,653.5684,1273.764,1394.0188,1035.7847,1650.2288,2025.615,1272.217,786.7747,1730.1076,1659.1828,1567.8091,1832.5297,1040.7488,2460.5804,1111.6472
H000065,14002,Acatlán de Juárez,54,M,media_superior,4,propia,29,537.33,12050.7775,544.8272,273.0408,404.1186,777.9699,508.2736,688.3544,563.1893,517.3938,764.1071,509.3706,301.4831,433.7443,514.0572,503.239,335.2146,402.9868,462.5892,483.2086,350.7738,443.701,413.4119,684.8098,644.8347,526.0785
H000066,14002,Acatlán de Juárez,55,F,superior,2,rentada,79,729.56,15599.0477,529.1481,633.8833,567.3136,483.3334,565.34,606.1995,506.9105,759.7727,861.2461,465.2475,695.5299,698.9082,656.2941,606.0669,470.5523,467.2123,751.504,987.893,372.3695,801.8621,985.738,708.7879,811.4435,606.4914
H000067,14002,Acatlán de Juárez,41,F,media_superior,2,propia,44,390.87,8434.2686,307.1229,202.5296,194.0961,478.2164,298.9322,342.3294,254.3759,256.5868,353.9183,320.6138,413.3059,456.1695,349.491,349.5917,613.8373,265.0455,392.7784,545.6683,0.0,255.7,339.8155,591.7609,429.3972,422.9858
H000068,14002,Acatlán de Juárez,39,F,media_superior,2,propia,67,935.89,22620.1622,714.4467,697.2725,1006.5585,806.207,943.8771,958.8118,0.0,1086.4963,2097.9748,564.4671,974.0579,765.0785,902.2706,791.1697,1156.7077,1225.9971,1011.2905,1306.291,459.7798,1482.3665,995.5789,1304.9854,619.0873,749.3896
H000069,14002,Acatlán de Juárez,55,F,media_superior,2,propia,78,268.28,5554.6705,227.8727,222.6,288.1017,342.1781,163.1761,357.4621,0.0,250.9396,165.9843,316.0004,124.9858,331.6288,140.8819,227.2547,0.0,350.8262,259.9742,219.0682,226.0498,387.1075,299.2232,243.4381,236.8615,173.0555
H000070,14002,Acatlán de Juárez,43,M,media_superior,5,rentada,45,602.64,14026.9089,0.0,299.7818,742.6333,580.5685,1240.2049,436.8052,571.7062,1014.5794,814.6739,499.185,609.0641,616.1861,532.7249,409.3466,580.1483,349.7172,640.3304,688.525,551.1469,372.4893,767.5755,681.5483,460.8379,567.1302
H000071,14002,Acatlán de Juárez,30,M,secundaria,2,prestada,139,363.51,7832.9365,190.4108,224.3336,306.774,483.6455,307.6834,439.1634,303.4513,388.2299,332.2945,477.2969,294.0245,234.1161,197.1639,259.3078,248.9662,380.3753,323.7829,730.7129,213.3908,383.2122,248.7398,319.5778,358.5892,187.6938
H000072,14002,Acatlán de Juárez,31,F,media_superior,1,rentada,28,594.51,13992.7332,518.6215,866.7086,514.302,595.2232,820.2518,567.2106,490.1117,302.6796,683.7758,584.3808,417.928,630.5191,407.6081,424.5202,701.9803,372.3265,825.6618,394.8696,478.491,1038.1979,788.7168,621.6811,426.8748,520.0923
H000073,14002,Acatlán de Juárez,34,M,secundaria,3,prestada,115,488.23,9973.4531,405.9424,411.6399,469.7944,448.8393,468.1796,320.09,410.1825,634.1512,311.3199,469.2697,363.215,515.4895,354.4663,628.187,0.0,0.0,607.1828,389.3595,402.9635,531.6125,402.684,644.7939,368.0713,416.0189
H000074,14002,Acatlán de Juárez,51,F,sin_estudios,2,propia,165,679.55,17136.0281,456.0764,479.9725,927.3162,758.2022,1146.4208,1323.7776,490.9272,688.9071,458.4577,549.6016,534.4932,509.1457,406.0809,543.1697,469.8602,807.2033,530.0716,1552.0507,581.9386,689.2305,442.7003,1139.459,893.3044,757.6607
H000075,14002,Acatlán de Juárez,47,M,media_superior,5,propia,37,478.62,9457.2475,262.2906,424.5787,340.3192,682.0658,0.0,492.7725,228.8636,356.1024,558.0951,694.3656,627.2661,0.0,425.534,537.7367,290.6937,442.9762,529.6909,438.6658,0.0,431.945,414.2817,465.6694,383.8875,429.447
H000076,14002,Acatlán de Juárez,53,F,media_superior,3,propia,48,373.05,7622.8834,300.0563,354.2301,337.1505,0.0,391.4357,212.4977,419.5547,370.3878,359.6344,502.5942,198.9988,213.5594,0.0,310.4337,0.0,302.167,463.005,491.0872,420.4112,343.1429,191.4643,475.1197,505.3338,460.6191
H000077,14002,Acatlán de Juárez,40,F,primaria,2,rentada,40,600.03,13733.04,377.1585,609.797,763.3997,879.6428,473.8003,562.0692,730.5458,605.9736,411.8666,688.649,672.9744,629.1969,520.7943,463.7664,915.1871,427.3066,515.7195,602.6448,759.3391,383.9121,389.1837,335.2312,573.3138,441.5678
H000078,14002,Acatlán de Juárez,47,F,superior,1,propia,41,263.36,6086.7072,191.4348,266.6731,215.5893,261.4771,246.3235,321.1639,296.0249,213.4496,238.8261,363.5659,279.7391,178.5862,259.7967,159.7277,394.0054,329.9979,292.8376,276.1109,242.1606,319.1665,225.0672,286.7793,0.0,228.204
H000079,14002,Acatlán de Juárez,53,F,sin_estudios,3,propia,83,171.9,3652.8449,116.7386,100.9516,124.2891,93.2327,217.4914,292.6748,255.3859,105.9071,202.6387,265.184,142.2615,180.9709,77.5862,0.0,124.3225,169.0928,111.0081,201.8244,227.0368,135.6402,117.3171,92.7611,150.4393,148.0903
H000080,14002,Acatlán de Juárez,41,F,media_superior,2,propia,27,142.02,2956.3723,73.3003,135.2741,122.9846,96.0726,123.2438,194.7241,165.7381,135.7481,162.2982,102.6379,135.6836,151.5413,100.6809,134.5786,111.6142,0.0,170.5399,60.3843,196.9278,57.6452,112.9385,195.0014,122.4473,94.3674
H000081,14002,Acatlán de Juárez,50,F,superior,0,propia,63,864.45,18170.7604,510.2647,974.4755,485.9961,1117.054,868.6281,609.828,712.1985,636.8156,1062.2089,1089.1385,493.8696,784.6651,545.9953,1053.8062,574.7543,1284.2898,874.2067,615.3056,692.782,678.4246,566.5918,903.2216,570.482,465.7581
H000082,14002,Acatlán de Juárez,37,M,primaria,0,propia,69,428.46,9238.891,311.8909,210.4604,339.5351,304.3719,338.8103,771.7991,425.8982,457.2508,242.3639,359.3356,431.9273,324.1085,455.1753,251.0069,389.2868,334.6501,459.1756,355.4193,386.8807,396.9786,329.0907,502.0194,434.8644,426.5911
H000083,14002,Acatlán de Juárez,41,M,superior,3,rentada,43,473.4,10171.2633,339.5052,498.7583,436.546,401.3509,498.5336,0.0,312.2824,589.3048,258.7607,512.7357,711.3597,558.3782,405.0228,334.8766,472.123,407.8399,383.8326,435.2707,490.5957,375.2977,356.0145,322.681,502.4508,567.7426
H000084,14002,Acatlán de Juárez,40,F,media_superior,0,propia,108,325.55,8394.3279,283.5636,360.3944,330.1329,338.8388,363.4741,317.2744,272.3616,619.2487,271.6635,272.075,349.9463,358.2004,175.3947,377.4496,312.9517,217.9619,471.2993,391.6283,219.585,544.6971,376.3938,329.8243,491.3697,348.5988
H000085,14002,Acatlán de Juárez,31,F,media_superior,5,propia,44,440.5,8647.5994,0.0,302.6023,516.4112,470.009,451.7899,349.7173,447.419,428.557,283.774,290.5808,0.0,209.7133,380.7431,319.2298,639.1534,353.5332,545.9385,392.4918,445.2986,543.06,366.4439,599.7402,311.393,0.0
