id_hogar,cve_municipio,municipio,edad_receptor,genero_receptor,escolaridad,n_dependientes,tipo_vivienda_actual,antiguedad_recepcion_meses,remesa_mediana_esperada_usd
H000048,14001,Acatic,48,M,primaria,3,propia,161,278.06
H000049,14001,Acatic,53,F,sin_estudios,4,propia,96,545.17
H000050,14001,Acatic,46,F,superior,1,propia,51,997.16
H000051,14001,Acatic,48,F,media_superior,1,propia,98,602.52
H000052,14001,Acatic,53,M,secundaria,4,propia,68,527.0
H000053,14001,Acatic,28,F,secundaria,6,rentada,208,711.85
H000054,14001,Acatic,41,F,primaria,2,prestada,90,334.27
H000055,14001,Acatic,39,F,secundaria,2,propia,40,196.6
H000056,14001,Acatic,37,M,primaria,3,propia,25,277.35
H000057,14002,Acatlán de Juárez,42,F,primaria,3,propia,53,705.36
H000058,14002,Acatlán de Juárez,63,F,media_superior,1,propia,77,222.77
H000059,14002,Acatlán de Juárez,35,F,primaria,4,propia,65,356.76
H000060,14002,Acatlán de Juárez,57,F,media_superior,1,propia,25,387.99
H000061,14002,Acatlán de Juárez,25,M,secundaria,1,propia,31,460.04
H000062,14002,Acatlán de Juárez,41,M,sin_estudios,2,propia,30,499.31
H000063,14002,Acatlán de Juárez,47,F,primaria,4,prestada,71,510.1
H000064,14002,Acatlán de Juárez,52,F,primaria,3,propia,165,1441.74
H000065,14002,Acatlán de Juárez,54,M,media_superior,4,propia,29,537.33
H000066,14002,Acatlán de Juárez,55,F,superior,2,rentada,79,729.56
H000067,14002,Acatlán de Juárez,41,F,media_superior,2,propia,44,390.87
H000068,14002,Acatlán de Juárez,39,F,media_superior,2,propia,67,935.89
H000069,14002,Acatlán de Juárez,55,F,media_superior,2,propia,78,268.28
H000070,14002,Acatlán de Juárez,43,M,media_superior,5,rentada,45,602.64
H000071,14002,Acatlán de Juárez,30,M,secundaria,2,prestada,139,363.51
H000072,14002,Acatlán de Juárez,31,F,media_superior,1,rentada,28,594.51
H000073,14002,Acatlán de Juárez,34,M,secundaria,3,prestada,115,488.23
H000074,14002,Acatlán de Juárez,51,F,sin_estudios,2,propia,165,679.55
H000075,14002,Acatlán de Juárez,47,M,media_superior,5,propia,37,478.62
H000076,14002,Acatlán de Juárez,53,F,media_superior,3,propia,48,373.05
H000077,14002,Acatlán de Juárez,40,F,primaria,2,rentada,40,600.03
H000078,14002,Acatlán de Juárez,47,F,superior,1,propia,41,263.36
H000079,14002,Acatlán de Juárez,53,F,sin_estudios,3,propia,83,171.9
H000080,14002,Acatlán de Juárez,41,F,media_superior,2,propia,27,142.02
H000081,14002,Acatlán de Juárez,50,F,superior,0,propia,63,864.45
H000082,14002,Acatlán de Juárez,37,M,primaria,0,propia,69,428.46
H000083,14002,Acatlán de Juárez,41,M,superior,3,rentada,43,473.4
H000084,14002,Acatlán de Juárez,40,F,media_superior,0,propia,108,325.55
H000085,14002,Acatlán de Juárez,31,F,media_superior,5,propia,44,440.5
H000086,14002,Acatlán de Juárez,51,F,superior,0,propia,75,277.66
H000087,14002,Acatlán de Juárez,39,F,secundaria,3,propia,24,377.97
H000088,14002,Acatlán de Juárez,45,F,secundaria,1,propia,35,169.66
H000089,14002,Acatlán de Juárez,51,M,secundaria,5,rentada,118,163.58
H000090,14002,Acatlán de Juárez,50,M,secundaria,1,propia,102,211.76
H000091,14002,Acatlán de Juárez,53,F,primaria,3,propia,48,260.09
H000092,14002,Acatlán de Juárez,44,M,primaria,3,propia,44,706.09
H000093,14002,Acatlán de Juárez,40,F,primaria,1,prestada,100,1192.57
H000094,14002,Acatlán de Juárez,44,F,media_superior,4,prestada,221,638.49
H000095,14002,Acatlán de Juárez,25,F,superior,0,prestada,31,91.07
H000096,14002,Acatlán de Juárez,28,F,superior,3,propia,105,845.11
H000097,14002,Acatlán de Juárez,29,F,primaria,0,propia,44,320.65
H000098,14002,Acatlán de Juárez,33,M,secundaria,2,propia,39,188.47
H000099,14002,Acatlán de Juárez,50,F,secundaria,2,propia,121,897.69
H000100,14002,Acatlán de Juárez,34,F,primaria,3,propia,70,317.61
H000101,14002,Acatlán de Juárez,40,F,secundaria,2,rentada,71,247.09
H000102,14002,Acatlán de Juárez,61,M,primaria,2,prestada,31,298.96
H000103,14002,Acatlán de Juárez,41,F,superior,1,propia,32,328.97
H000104,14002,Acatlán de Juárez,54,M,primaria,1,propia,86,501.09
H000105,14002,Acatlán de Juárez,34,M,media_superior,2,propia,100,418.36
H000106,14002,Acatlán de Juárez,43,F,superior,1,propia,202,284.76
H000107,14002,Acatlán de Juárez,34,M,media_superior,0,propia,31,158.59
H000108,14002,Acatlán de Juárez,41,M,primaria,2,propia,206,267.58
H000109,14002,Acatlán de Juárez,55,M,primaria,2,propia,50,425.55
H000110,14003,Ahualulco de Mercado,24,F,superior,2,propia,63,273.96
H000111,14003,Ahualulco de Mercado,50,F,sin_estudios,3,propia,55,405.99
H000112,14003,Ahualulco de Mercado,48,F,primaria,1,prestada,72,381.4
H000113,14003,Ahualulco de Mercado,38,F,superior,3,propia,98,637.1
H000114,14003,Ahualulco de Mercado,28,M,media_superior,2,prestada,124,432.48
H000115,14003,Ahualulco de Mercado,46,M,media_superior,4,rentada,51,564.08
H000116,14003,Ahualulco de Mercado,39,F,primaria,1,propia,64,344.13
H000117,14003,Ahualulco de Mercado,48,F,secundaria,1,propia,32,796.46
H000118,14003,Ahualulco de Mercado,45,F,media_superior,3,rentada,96,310.08
H000119,14003,Ahualulco de Mercado,64,M,primaria,2,propia,72,260.38
H000120,14003,Ahualulco de Mercado,42,F,primaria,2,propia,35,694.93
H000121,14003,Ahualulco de Mercado,33,M,sin_estudios,3,propia,25,286.66
H000122,14003,Ahualulco de Mercado,47,F,secundaria,6,rentada,67,232.99
H000123,14003,Ahualulco de Mercado,48,F,primaria,4,propia,150,229.84
H000124,14003,Ahualulco de Mercado,61,M,media_superior,3,propia,182,303.82
H000125,14003,Ahualulco de Mercado,55,F,primaria,4,rentada,24,337.23
H000126,14003,Ahualulco de Mercado,49,F,primaria,5,propia,115,458.35
H000127,14003,Ahualulco de Mercado,63,M,superior,4,prestada,105,537.95
H000128,14003,Ahualulco de Mercado,31,F,superior,5,rentada,158,385.31
H000129,14003,Ahualulco de Mercado,37,M,media_superior,3,rentada,84,582.56
H000130,14003,Ahualulco de Mercado,34,M,superior,2,propia,47,548.76
H000131,14003,Ahualulco de Mercado,40,M,primaria,5,propia,104,250.75
H000132,14003,Ahualulco de Mercado,28,F,secundaria,3,propia,30,245.0
H000133,14003,Ahualulco de Mercado,53,F,primaria,3,propia,33,311.12
H000134,14003,Ahualulco de Mercado,42,M,secundaria,0,rentada,37,144.56
H000135,14003,Ahualulco de Mercado,27,F,media_superior,2,propia,40,394.24
H000136,14003,Ahualulco de Mercado,33,M,media_superior,4,rentada,41,343.47
H000137,14003,Ahualulco de Mercado,49,M,sin_estudios,3,propia,50,791.78
H000138,14003,Ahualulco de Mercado,55,F,primaria,1,prestada,73,623.6
H000139,14003,Ahualulco de Mercado,69,F,superior,3,propia,25,332.31
H000140,14003,Ahualulco de Mercado,80,M,secundaria,1,propia,44,590.33
H000141,14003,Ahualulco de Mercado,50,F,primaria,2,prestada,56,353.46
H000142,14003,Ahualulco de Mercado,33,F,primaria,2,propia,57,469.99
H000143,14003,Ahualulco de Mercado,19,M,primaria,4,propia,71,159.47
H000144,14003,Ahualulco de Mercado,48,F,secundaria,1,propia,102,295.81
H000145,14003,Ahualulco de Mercado,35,F,secundaria,2,propia,54,409.54
H000146,14003,Ahualulco de Mercado,40,M,secundaria,2,propia,143,337.37
H000147,14003,Ahualulco de Mercado,38,M,secundaria,1,rentada,60,680.87
H000148,14003,Ahualulco de Mercado,43,F,secundaria,4,rentada,44,447.0
H000149,14003,Ahualulco de Mercado,58,M,sin_estudios,0,propia,34,501.11
H000150,14003,Ahualulco de Mercado,47,M,sin_estudios,2,propia,78,419.03
H000151,14003,Ahualulco de Mercado,43,F,primaria,2,propia,49,383.41
H000152,14003,Ahualulco de Mercado,33,F,superior,5,propia,25,575.75
H000153,14003,Ahualulco de Mercado,25,M,media_superior,1,propia,174,849.89
H000154,14003,Ahualulco de Mercado,39,F,primaria,2,propia,68,148.46
H000155,14003,Ahualulco de Mercado,44,M,secundaria,2,propia,120,241.38
H000156,14003,Ahualulco de Mercado,66,F,secundaria,6,rentada,28,390.39
H000157,14003,Ahualulco de Mercado,47,F,secundaria,0,propia,46,697.24
H000158,14003,Ahualulco de Mercado,57,F,media_superior,5,rentada,121,541.78
H000159,14003,Ahualulco de Mercado,39,F,superior,3,propia,35,263.38
H000160,14003,Ahualulco de Mercado,31,M,primaria,4,propia,60,318.84
H000161,14003,Ahualulco de Mercado,33,F,secundaria,2,rentada,57,533.41
H000162,14003,Ahualulco de Mercado,36,M,secundaria,2,propia,57,290.32
H000163,14003,Ahualulco de Mercado,71,F,secundaria,1,rentada,45,431.78
H000164,14003,Ahualulco de Mercado,35,M,primaria,0,rentada,53,279.84
H000165,14003,Ahualulco de Mercado,55,M,secundaria,3,prestada,36,473.5
H000166,14003,Ahualulco de Mercado,34,F,sin_estudios,5,propia,24,506.08
H000167,14003,Ahualulco de Mercado,56,F,media_superior,4,prestada,34,113.19
H000168,14003,Ahualulco de Mercado,50,M,secundaria,2,propia,41,853.77
H000169,14003,Ahualulco de Mercado,43,M,primaria,3,propia,92,896.57
H000170,14003,Ahualulco de Mercado,45,F,superior,3,rentada,41,152.14
H000171,14003,Ahualulco de Mercado,37,F,media_superior,3,prestada,65,342.89
H000172,14003,Ahualulco de Mercado,50,M,secundaria,1,prestada,69,182.35
H000173,14003,Ahualulco de Mercado,40,F,superior,2,propia,41,145.67
H000174,14003,Ahualulco de Mercado,30,F,media_superior,2,propia,118,547.29
H000175,14003,Ahualulco de Mercado,30,F,primaria,1,propia,46,858.87
H000176,14003,Ahualulco de Mercado,47,F,secundaria,4,prestada,41,376.08
H000177,14003,Ahualulco de Mercado,64,M,secundaria,2,prestada,130,767.53
H000178,14003,Ahualulco de Mercado,47,F,secundaria,1,propia,66,282.11
H000179,14003,Ahualulco de Mercado,44,M,superior,1,propia,183,197.91
H000180,14003,Ahualulco de Mercado,48,F,secundaria,6,rentada,64,318.9
H000181,14003,Ahualulco de Mercado,61,F,sin_estudios,6,propia,53,267.14
H000182,14003,Ahualulco de Mercado,48,F,secundaria,0,propia,54,460.96
H000183,14003,Ahualulco de Mercado,40,F,media_superior,2,rentada,29,619.87
H000184,14003,Ahualulco de Mercado,58,M,primaria,1,propia,48,226.05
H000185,14003,Ahualulco de Mercado,50,M,sin_estudios,2,rentada,36,206.61
H000186,14003,Ahualulco de Mercado,63,M,primaria,3,prestada,49,564.37
H000187,14003,Ahualulco de Mercado,47,F,media_superior,3,propia,69,324.61
H000188,14004,Amacueca,30,F,primaria,6,propia,78,539.54
H000189,14005,Amatitán,29,F,primaria,0,rentada,57,262.38
H000190,14005,Amatitán,65,M,primaria,1,propia,65,282.65
H000191,14005,Amatitán,66,F,secundaria,0,prestada,57,602.78
H000192,14005,Amatitán,43,F,primaria,2,propia,69,549.93
H000193,14005,Amatitán,40,F,primaria,3,prestada,57,711.02
H000194,14005,Amatitán,63,F,media_superior,3,propia,170,345.85
H000195,14005,Amatitán,32,M,primaria,3,propia,50,680.45
H000196,14005,Amatitán,34,F,primaria,2,rentada,60,464.32
H000197,14005,Amatitán,53,M,secundaria,3,rentada,40,456.01
H000198,14005,Amatitán,40,F,sin_estudios,1,propia,48,258.76
H000199,14005,Amatitán,45,F,sin_estudios,1,rentada,169,511.54
H000200,14005,Amatitán,43,F,secundaria,5,propia,46,338.91
H000201,14005,Amatitán,49,M,primaria,0,propia,128,877.91
H000202,14005,Amatitán,62,F,secundaria,2,propia,99,379.72
H000203,14005,Amatitán,46,F,superior,3,rentada,82,350.16
H000204,14005,Amatitán,53,M,secundaria,3,rentada,63,675.29
H000205,14005,Amatitán,20,F,secundaria,2,rentada,64,394.66
H000206,14005,Amatitán,44,F,superior,3,propia,73,259.01
H000207,14005,Amatitán,35,F,secundaria,5,propia,50,190.75
H000208,14005,Amatitán,30,F,media_superior,4,propia,42,254.03
H000209,14005,Amatitán,34,M,secundaria,1,propia,83,167.06
H000210,14005,Amatitán,41,M,secundaria,3,propia,39,364.28
H000211,14005,Amatitán,56,M,superior,1,prestada,190,559.42
H000212,14005,Amatitán,29,M,sin_estudios,1,propia,48,294.18
H000213,14005,Amatitán,45,M,superior,5,rentada,103,1187.52
H000214,14005,Amatitán,39,F,secundaria,2,propia,37,200.8
H000215,14005,Amatitán,41,F,secundaria,1,propia,112,482.35
H000216,14005,Amatitán,57,F,secundaria,2,propia,80,462.2
H000217,14005,Amatitán,51,M,primaria,2,propia,151,314.11
H000218,14005,Amatitán,61,M,sin_estudios,1,propia,100,354.28
H000219,14005,Amatitán,43,M,superior,0,propia,40,803.03
H000220,14005,Amatitán,37,F,secundaria,3,propia,26,615.85
H000221,14005,Amatitán,42,F,media_superior,0,rentada,54,578.95
H000222,14006,Ameca,48,M,primaria,3,propia,61,249.45
H000223,14006,Ameca,47,F,primaria,0,propia,45,474.96
H000224,14006,Ameca,32,F,primaria,1,propia,98,548.77
H000225,14006,Ameca,46,F,primaria,3,propia,63,560.93
H000226,14006,Ameca,48,F,secundaria,2,propia,60,202.68
H000227,14006,Ameca,75,M,superior,0,propia,174,442.95
H000228,14006,Ameca,68,M,media_superior,0,prestada,65,441.09
H000229,14006,Ameca,35,M,secundaria,0,propia,123,628.94
H000230,14006,Ameca,42,F,primaria,1,rentada,69,337.46
H000231,14006,Ameca,27,F,secundaria,2,rentada,50,226.11
H000232,14006,Ameca,38,M,secundaria,1,propia,31,247.98
H000233,14006,Ameca,49,F,media_superior,2,rentada,145,447.47
H000234,14006,Ameca,59,F,secundaria,0,propia,196,641.02
H000235,14006,Ameca,36,M,sin_estudios,2,propia,37,322.28
H000236,14006,Ameca,37,F,sin_estudios,3,propia,74,433.51
H000237,14006,Ameca,19,F,superior,1,prestada,82,151.15
H000238,14006,Ameca,43,M,media_superior,5,propia,58,145.68
H000239,14006,Ameca,32,F,superior,6,rentada,59,470.79
H000240,14006,Ameca,39,F,primaria,4,rentada,223,467.04
H000241,14006,Ameca,34,F,secundaria,4,propia,208,524.23
H000242,14006,Ameca,44,M,primaria,2,propia,60,148.34
H000243,14006,Ameca,24,F,superior,1,propia,86,731.27
H000244,14006,Ameca,27,F,primaria,3,propia,49,295.3
H000245,14006,Ameca,71,F,media_superior,1,propia,44,289.31
H000246,14006,Ameca,30,M,primaria,1,propia,69,513.05
H000247,14006,Ameca,32,M,primaria,6,rentada,35,394.29
H000248,14006,Ameca,67,F,primaria,6,propia,84,813.99
H000249,14006,Ameca,80,F,secundaria,2,rentada,62,525.31
H000250,14006,Ameca,31,M,media_superior,0,prestada,28,760.6
H000251,14006,Ameca,41,M,superior,1,propia,99,314.99
H000252,14006,Ameca,49,M,secundaria,5,propia,100,659.9
H000253,14006,Ameca,66,M,secundaria,2,propia,132,139.87
H000254,14006,Ameca,33,F,media_superior,2,propia,43,365.87
H000255,14006,Ameca,42,F,sin_estudios,0,prestada,123,207.54
H000256,14006,Ameca,54,F,media_superior,1,propia,61,403.17
H000257,14006,Ameca,50,M,media_superior,4,rentada,65,412.87
H000258,14006,Ameca,40,F,secundaria,1,propia,96,584.56
H000259,14006,Ameca,43,F,sin_estudios,3,rentada,41,426.44
H000260,14006,Ameca,29,M,primaria,3,propia,47,273.68
H000261,14006,Ameca,42,F,primaria,2,propia,65,309.51
H000262,14006,Ameca,42,M,superior,3,propia,72,416.99
H000263,14006,Ameca,48,F,secundaria,2,propia,134,284.6
H000264,14006,Ameca,38,F,secundaria,4,propia,76,650.56
H000265,14006,Ameca,51,F,secundaria,4,propia,63,321.59
H000266,14006,Ameca,57,M,media_superior,4,propia,85,603.66
H000267,14006,Ameca,47,M,primaria,2,propia,39,280.57
H000268,14006,Ameca,49,F,primaria,5,propia,51,503.8
H000269,14006,Ameca,46,F,secundaria,1,rentada,28,346.01
H000270,14006,Ameca,45,F,primaria,2,propia,51,642.66
H000271,14006,Ameca,36,M,primaria,1,propia,201,899.69
H000272,14006,Ameca,49,M,secundaria,1,prestada,40,417.54
H000273,14006,Ameca,44,M,primaria,4,propia,89,894.54
H000274,14006,Ameca,70,F,superior,3,rentada,43,354.92
H000275,14006,Ameca,64,F,media_superior,3,rentada,81,415.89
H000276,14006,Ameca,50,F,superior,3,propia,95,362.34
H000277,14006,Ameca,36,F,superior,4,propia,42,242.01
H000278,14006,Ameca,32,F,primaria,5,propia,80,734.47
H000279,14006,Ameca,59,F,primaria,5,propia,59,407.88
H000280,14006,Ameca,48,F,media_superior,0,propia,42,314.68
H000281,14006,Ameca,51,M,sin_estudios,4,propia,34,275.53
H000282,14006,Ameca,24,F,superior,1,propia,33,891.11
H000283,14006,Ameca,56,M,sin_estudios,1,propia,96,356.33
H000284,14006,Ameca,50,M,secundaria,2,propia,61,354.68
H000285,14006,Ameca,32,F,secundaria,5,propia,28,603.23
H000286,14006,Ameca,39,F,superior,2,propia,61,762.65
H000287,14006,Ameca,48,M,secundaria,1,rentada,60,301.48
H000288,14006,Ameca,46,F,secundaria,2,rentada,48,503.52
H000289,14006,Ameca,41,F,primaria,3,propia,102,503.07
H000290,14006,Ameca,44,F,secundaria,1,propia,78,351.3
H000291,14006,Ameca,42,M,media_superior,3,propia,40,319.93
H000292,14006,Ameca,47,M,secundaria,4,rentada,37,289.07
H000293,14006,Ameca,63,M,media_superior,1,propia,52,606.79
H000294,14006,Ameca,42,M,sin_estudios,3,rentada,74,425.81
H000295,14006,Ameca,47,F,primaria,5,rentada,25,393.87
H000296,14006,Ameca,49,M,superior,4,propia,140,275.62
H000297,14006,Ameca,41,M,primaria,1,propia,78,607.03
H000298,14006,Ameca,24,F,secundaria,3,propia,38,438.37
H000299,14006,Ameca,49,M,secundaria,1,rentada,79,257.05
H000300,14006,Ameca,66,M,superior,2,propia,114,325.13
H000301,14006,Ameca,27,F,primaria,1,propia,110,535.31
H000302,14006,Ameca,55,F,primaria,2,propia,97,172.08
H000303,14006,Ameca,41,F,media_superior,1,rentada,105,374.09
H000304,14006,Ameca,44,M,secundaria,1,prestada,111,553.59
H000305,14006,Ameca,32,F,secundaria,3,propia,40,424.93
H000306,14006,Ameca,41,F,primaria,4,propia,46,529.8
H000307,14006,Ameca,61,F,secundaria,2,propia,96,148.59
H000308,14006,Ameca,52,M,superior,5,propia,128,211.67
H000309,14006,Ameca,66,M,secundaria,2,propia,53,568.84
H000310,14006,Ameca,59,M,superior,5,prestada,41,455.65
H000311,14006,Ameca,50,F,superior,1,prestada,40,337.23
H000312,14006,Ameca,66,F,secundaria,2,rentada,33,430.52
H000313,14006,Ameca,50,M,secundaria,4,propia,82,498.7
H000314,14006,Ameca,55,F,secundaria,5,propia,130,305.44
H000315,14006,Ameca,41,F,media_superior,2,propia,83,278.28
H000316,14006,Ameca,46,M,secundaria,2,propia,58,208.55
H000317,14006,Ameca,37,F,primaria,5,propia,226,731.49
H000318,14006,Ameca,57,F,superior,1,propia,59,392.77
H000319,14006,Ameca,31,M,secundaria,1,prestada,156,753.95
H000320,14006,Ameca,54,M,media_superior,1,prestada,28,208.0
H000321,14006,Ameca,43,F,secundaria,4,propia,69,402.97
H000322,14006,Ameca,59,F,secundaria,5,rentada,30,222.47
H000323,14006,Ameca,54,F,media_superior,6,prestada,31,838.61
H000324,14006,Ameca,67,F,media_superior,3,prestada,34,1295.2
H000325,14006,Ameca,54,F,sin_estudios,4,rentada,63,668.08
H000326,14006,Ameca,26,F,secundaria,2,propia,43,229.65
H000327,14006,Ameca,44,M,media_superior,3,rentada,44,225.84
H000328,14006,Ameca,31,F,superior,2,propia,39,363.78
H000329,14006,Ameca,39,F,sin_estudios,1,propia,82,404.58
H000330,14006,Ameca,63,F,primaria,3,prestada,96,480.14
H000331,14006,Ameca,53,F,secundaria,3,rentada,92,470.48
H000332,14006,Ameca,37,F,primaria,4,prestada,198,383.0
H000333,14006,Ameca,33,F,sin_estudios,2,propia,27,343.0
H000334,14006,Ameca,45,M,secundaria,2,rentada,28,262.63
H000335,14006,Ameca,30,M,secundaria,2,propia,59,515.55
H000336,14006,Ameca,37,M,secundaria,1,propia,55,130.28
H000337,14006,Ameca,49,F,primaria,4,prestada,66,397.41
H000338,14006,Ameca,59,M,superior,1,rentada,108,420.95
H000339,14006,Ameca,52,M,secundaria,1,propia,50,343.94
H000340,14006,Ameca,49,F,media_superior,2,prestada,124,548.2
H000341,14006,Ameca,46,F,primaria,5,rentada,35,591.93
H000342,14006,Ameca,50,M,media_superior,1,propia,42,416.61
H000343,14006,Ameca,64,M,media_superior,3,propia,28,1076.31
H000344,14006,Ameca,20,F,primaria,2,propia,112,277.84
H000345,14006,Ameca,38,F,secundaria,1,propia,130,308.51
H000346,14006,Ameca,52,F,media_superior,2,propia,25,315.19
H000347,14006,Ameca,26,F,secundaria,2,propia,115,631.59
H000348,14006,Ameca,63,M,media_superior,2,rentada,29,447.51
H000349,14006,Ameca,49,F,primaria,2,rentada,43,159.96
H000350,14006,Ameca,55,M,secundaria,1,rentada,125,327.69
H000351,14006,Ameca,38,M,superior,2,rentada,212,290.16
H000352,14006,Ameca,55,F,primaria,3,propia,43,813.98
H000353,14006,Ameca,58,M,primaria,2,propia,57,264.11
H000354,14006,Ameca,48,M,primaria,3,rentada,124,377.21
H000355,14006,Ameca,48,F,superior,1,rentada,138,187.11
H000356,14006,Ameca,48,F,primaria,2,propia,26,407.91
H000357,14006,Ameca,35,M,primaria,2,propia,111,886.34
H000358,14006,Ameca,43,F,media_superior,1,rentada,38,261.22
H000359,14006,Ameca,43,F,media_superior,1,propia,160,577.95
H000360,14006,Ameca,50,F,secundaria,3,propia,93,346.37
H000361,14006,Ameca,57,F,superior,2,propia,29,376.67
H000362,14006,Ameca,32,M,sin_estudios,0,propia,130,502.37
H000363,14006,Ameca,43,F,secundaria,1,propia,87,215.9
H000364,14006,Ameca,63,F,secundaria,1,rentada,79,269.11
H000365,14006,Ameca,36,F,primaria,0,prestada,61,252.79
H000366,14006,Ameca,35,M,superior,2,propia,42,813.28
H000367,14006,Ameca,47,F,secundaria,3,propia,92,610.71
H000368,14006,Ameca,55,M,primaria,2,prestada,228,592.69
H000369,14006,Ameca,45,M,primaria,0,prestada,53,598.74
H000370,14006,Ameca,61,F,primaria,2,propia,41,546.83
H000371,14006,Ameca,55,M,superior,3,rentada,66,183.06
H000372,14006,Ameca,55,F,primaria,1,propia,73,290.56
H000373,14006,Ameca,52,M,superior,1,rentada,113,344.63
H000374,14006,Ameca,73,F,primaria,2,prestada,100,403.28
H000375,14006,Ameca,43,F,superior,3,propia,101,240.44
H000376,14006,Ameca,21,F,media_superior,2,propia,39,203.71
H000377,14006,Ameca,64,F,primaria,1,propia,42,236.55
H000378,14006,Ameca,40,M,primaria,0,propia,28,270.12
H000379,14006,Ameca,46,M,media_superior,1,propia,72,322.03
H000380,14006,Ameca,61,F,sin_estudios,0,propia,110,460.3
H000381,14006,Ameca,26,F,primaria,0,propia,127,354.55
H000382,14006,Ameca,30,F,media_superior,1,prestada,83,657.52
H000383,14006,Ameca,26,F,superior,1,prestada,29,502.51
H000384,14006,Ameca,35,F,media_superior,1,propia,91,330.35
H000385,14006,Ameca,50,F,superior,5,rentada,29,465.13
H000386,14006,Ameca,51,M,secundaria,3,propia,100,362.72
H000387,14006,Ameca,48,F,media_superior,2,rentada,38,291.47
H000388,14006,Ameca,28,M,primaria,2,rentada,39,390.15
H000389,14006,Ameca,46,F,media_superior,1,rentada,105,458.03
H000390,14006,Ameca,39,F,secundaria,5,propia,41,596.89
H000391,14006,Ameca,51,F,secundaria,2,rentada,117,1025.12
H000392,14006,Ameca,53,F,superior,2,propia,101,673.88
H000393,14006,Ameca,47,F,secundaria,2,rentada,56,242.55
H000394,14006,Ameca,54,M,secundaria,2,prestada,44,185.33
H000395,14006,Ameca,48,M,secundaria,0,propia,147,680.16
H000396,14006,Ameca,51,M,primaria,1,prestada,107,359.35
H000397,14006,Ameca,37,F,primaria,2,rentada,189,276.8
H000398,14006,Ameca,43,F,superior,1,rentada,49,791.87
H000399,14006,Ameca,47,F,primaria,2,propia,44,349.19
H000400,14006,Ameca,55,M,secundaria,1,propia,86,361.56
H000401,14006,Ameca,40,M,secundaria,3,prestada,31,285.06
H000402,14006,Ameca,51,F,superior,0,rentada,34,152.15
H000403,14006,Ameca,42,M,media_superior,3,propia,62,250.88
H000404,14006,Ameca,44,F,primaria,3,propia,55,285.42
